feature,mean_abs_shap
lower_heating_value_mj_kg,0.07857276
hydraulic_retention_time_d,0.07318061
conversion_route_hybrid_biorefinery,0.072759375
moisture_pct,0.038927745
ph,0.03289454
contamination_pct,0.020596314
temperature_c,0.019449195
organic_fraction_pct,0.019384667
feedstock_type_agricultural_residues,0.018796023
feedstock_type_sewage_sludge,0.01339202
ash_pct,0.010225022
local_energy_demand_index,0.0066908067
pretreatment_intensity,0.0066434504
conversion_route_gasification,0.0051483293
feedstock_type_msw_organic_fraction,0.0029679183
conversion_route_pyrolysis,0.0027805215
residence_time_min,0.0019718115
oxygen_equivalence_ratio,0.0019113425
sorting_efficiency,0.0018947859
feedstock_type_industrial_organic_residues,0.0017557342
sensor_coverage,0.0015574667
seasonality_index,0.0012918336
data_quality_index,0.00090126967
collection_distance_km,0.00078706804
carbon_nitrogen_ratio,0.00076917565
vulnerable_population_index,0.0007300733
feedstock_type_mixed_biomass_stream,0.00029492946
conversion_route_incineration_energy_recovery,0.00026334284
feedstock_type_food_waste,0.0002157371
conversion_route_anaerobic_digestion,0.0
